Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
0.0,0.0,1.0,0.0,Sat Jun 09 22:23:33 +0000 2018,Op-Ed Columnist: Debacle in Quebec. https://t.co/hubSiRdo02,1,NYT
0.4404,0.0,0.734,0.266,Sat Jun 09 22:21:34 +0000 2018,Contributing Op-Ed Writer: Selling the Protected Area Myth. https://t.co/9SquStMTQF,2,NYT
-0.6705,0.647,0.353,0.0,Sat Jun 09 22:05:33 +0000 2018,I Have Post-Brokeness Stress Disorder. https://t.co/8fLV7o0oF4,3,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 21:48:34 +0000 2018,"Barbara Kafka, Cookbook Author and Food Writer, Dies at 84. https://t.co/oAcvXg0h66",4,NYT
-0.6486,0.264,0.736,0.0,Sat Jun 09 21:47:33 +0000 2018,"Kate Spade, Whose Handbags Carried Women Into Adulthood, Is Dead at 55. https://t.co/uHFwKZITDK",5,NYT
-0.4215,0.219,0.781,0.0,Sat Jun 09 21:30:34 +0000 2018,Yankees Put Masahiro Tanaka on the D.L. After a Base-Running Injury. https://t.co/wOcduSeuQf,6,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 20:09:33 +0000 2018,"Lorraine Gordon, Keeper of the Village Vanguard Flame, Dies at 95. https://t.co/IhliN1drtB",7,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 20:08:33 +0000 2018,The Last Word: Lorraine Gordon. https://t.co/AJAAYpB1b3,8,NYT
0.6597,0.138,0.345,0.517,Sat Jun 09 20:07:33 +0000 2018,Surviving the Miss Ex-Yugoslavia Beauty Pageant. https://t.co/yAXCEm9jig,9,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 20:06:33 +0000 2018,Op-Ed Columnist: Bill’s Belated #MeToo Moment. https://t.co/eXd8ydnxPK,10,NYT
-0.5423,0.259,0.741,0.0,Sat Jun 09 20:05:33 +0000 2018,Salmonella Outbreak That Sickened 60 Is Linked to Pre-Cut Melons. https://t.co/nmjWBc0pbK,11,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 19:49:33 +0000 2018,Belmont Stakes 2018: Updates as Justify Attempts a Triple Crown Sweep. https://t.co/YIxpCDJeQY,12,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 19:34:34 +0000 2018,The Allegory of the Baseball Broadcast Booth. https://t.co/dKWLD7G7s3,13,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 19:33:33 +0000 2018,The 1st 2020 Race Is Underway: Scrambling for New York Donors. https://t.co/NEL3YbxOot,14,NYT
0.3612,0.0,0.762,0.238,Sat Jun 09 18:53:34 +0000 2018,Op-Ed Columnist: Scott Pruitt Smells Like the Ritz. https://t.co/n8BcushmxF,15,NYT
-0.2023,0.294,0.476,0.23,Sat Jun 09 18:52:33 +0000 2018,Op-Ed Columnist: Grim Trends in Good Times. https://t.co/0bCNhgpEV6,16,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 18:51:33 +0000 2018,"Vote For Me! For Second Place, at Least?. https://t.co/sPTWT8D6iQ",17,NYT
-0.296,0.18,0.82,0.0,Sat Jun 09 18:50:34 +0000 2018,Editorial Observer: African-Americans and the Strains of the National Anthem. https://t.co/IJyWRUYdVu,18,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 18:49:34 +0000 2018,How a Pediatrician Became a Detective. https://t.co/nX5miCIxJo,19,NYT
0.2263,0.0,0.826,0.174,Sat Jun 09 18:48:33 +0000 2018,Opinion: Turning Affluent Suburbs Blue Isn’t Worth the Cost. https://t.co/pGcdxe9mc7,20,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 22:23:33 +0000 2018,Op-Ed Columnist: Debacle in Quebec. https://t.co/hubSiRdo02,21,NYT
0.4404,0.0,0.734,0.266,Sat Jun 09 22:21:34 +0000 2018,Contributing Op-Ed Writer: Selling the Protected Area Myth. https://t.co/9SquStMTQF,22,NYT
-0.6705,0.647,0.353,0.0,Sat Jun 09 22:05:33 +0000 2018,I Have Post-Brokeness Stress Disorder. https://t.co/8fLV7o0oF4,23,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 21:48:34 +0000 2018,"Barbara Kafka, Cookbook Author and Food Writer, Dies at 84. https://t.co/oAcvXg0h66",24,NYT
-0.6486,0.264,0.736,0.0,Sat Jun 09 21:47:33 +0000 2018,"Kate Spade, Whose Handbags Carried Women Into Adulthood, Is Dead at 55. https://t.co/uHFwKZITDK",25,NYT
-0.4215,0.219,0.781,0.0,Sat Jun 09 21:30:34 +0000 2018,Yankees Put Masahiro Tanaka on the D.L. After a Base-Running Injury. https://t.co/wOcduSeuQf,26,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 20:09:33 +0000 2018,"Lorraine Gordon, Keeper of the Village Vanguard Flame, Dies at 95. https://t.co/IhliN1drtB",27,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 20:08:33 +0000 2018,The Last Word: Lorraine Gordon. https://t.co/AJAAYpB1b3,28,NYT
0.6597,0.138,0.345,0.517,Sat Jun 09 20:07:33 +0000 2018,Surviving the Miss Ex-Yugoslavia Beauty Pageant. https://t.co/yAXCEm9jig,29,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 20:06:33 +0000 2018,Op-Ed Columnist: Bill’s Belated #MeToo Moment. https://t.co/eXd8ydnxPK,30,NYT
-0.5423,0.259,0.741,0.0,Sat Jun 09 20:05:33 +0000 2018,Salmonella Outbreak That Sickened 60 Is Linked to Pre-Cut Melons. https://t.co/nmjWBc0pbK,31,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 19:49:33 +0000 2018,Belmont Stakes 2018: Updates as Justify Attempts a Triple Crown Sweep. https://t.co/YIxpCDJeQY,32,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 19:34:34 +0000 2018,The Allegory of the Baseball Broadcast Booth. https://t.co/dKWLD7G7s3,33,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 19:33:33 +0000 2018,The 1st 2020 Race Is Underway: Scrambling for New York Donors. https://t.co/NEL3YbxOot,34,NYT
0.3612,0.0,0.762,0.238,Sat Jun 09 18:53:34 +0000 2018,Op-Ed Columnist: Scott Pruitt Smells Like the Ritz. https://t.co/n8BcushmxF,35,NYT
-0.2023,0.294,0.476,0.23,Sat Jun 09 18:52:33 +0000 2018,Op-Ed Columnist: Grim Trends in Good Times. https://t.co/0bCNhgpEV6,36,NYT
0.0,0.0,1.0,0.0,Sat Jun 09 18:51:33 +0000 2018,"Vote For Me! For Second Place, at Least?. https://t.co/sPTWT8D6iQ",37,NYT
-0.296,0.18,0.82,0.0,Sat Jun 09 18:50:34 +0000 2018,Editorial Observer: African-Americans and the Strains of the National Anthem. https://t.co/IJyWRUYdVu,38,NYT
